"products_id";"category_id";"category_name"
"140352634";"315587";"Komputery/Akcesoria (Laptop, PC)/Przejściówki, śledzie/Przejściówki"
"140487866";"259651";"Biuro i Reklama/Sprzęt biurowy/Filtry prywatyzujące"
"140432420";"258224";"Komputery/Oprogramowanie/Antywirusy i bezpieczeństwo"
"140675976";"77780";"Komputery/Akcesoria (Laptop, PC)/Podstawki chłodzące"
"140685338";"77781";"Komputery/Akcesoria (Laptop, PC)/Stacje dokujące"
"140362269";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140363932";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140365390";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140365404";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140482279";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140485953";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140489455";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140489504";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140489627";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140489630";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140489632";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140559778";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140600775";"147906";"Komputery/Części do laptopów/Zasilacze do laptopów"
"140474635";"77784";"Komputery/Akcesoria (Laptop, PC)/Torby, pokrowce/Pokrowce i etui"
"140494351";"77785";"Komputery/Akcesoria (Laptop, PC)/Torby, pokrowce/Torby"
"140623561";"77783";"Komputery/Akcesoria (Laptop, PC)/Torby, pokrowce/Plecaki"
"140672425";"77785";"Komputery/Akcesoria (Laptop, PC)/Torby, pokrowce/Torby"
"140671301";"77783";"Komputery/Akcesoria (Laptop, PC)/Torby, pokrowce/Plecaki"
"140353694";"315587";"Komputery/Akcesoria (Laptop, PC)/Przejściówki, śledzie/Przejściówki"
"140428821";"315587";"Komputery/Akcesoria (Laptop, PC)/Przejściówki, śledzie/Przejściówki"
"140409412";"257291";"Komputery/Napędy optyczne i nośniki/Nośniki/Blu-ray"
"140555424";"260043";"Komputery/Urządzenia VR/Gogle VR"
"140597305";"486";"Komputery/Komputery stacjonarne"
"140457955";"315587";"Komputery/Akcesoria (Laptop, PC)/Przejściówki, śledzie/Przejściówki"
"140461670";"45940";"Komputery/Dyski i pamięci przenośne/Obudowy i kieszenie/Adaptery IDE/SATA"
"140356304";"315587";"Komputery/Akcesoria (Laptop, PC)/Przejściówki, śledzie/Przejściówki"
"140360315";"260037";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Pasty i taśmy termoprzewodzące"
"140678092";"260029";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Chłodzenie procesorów"
"140352815";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140678660";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140678667";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140457201";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140476231";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140483059";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140492976";"260040";"Komputery/Podzespoły komputerowe/Chłodzenie i tuning/Wentylatory"
"140469550";"260021";"Komputery/Akcesoria (Laptop, PC)/Kamery internetowe"
"140641930";"260021";"Komputery/Akcesoria (Laptop, PC)/Kamery internetowe"
"140661842";"260021";"Komputery/Akcesoria (Laptop, PC)/Kamery internetowe"
"140362061";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140427308";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140427311";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140479557";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140673836";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140673837";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140663834";"4577";"Komputery/Urządzenia wskazujące/Myszki/Podkładki"
"140565263";"64493";"Biuro i Reklama/Akcesoria biurowe/Przyborniki"
"140473452";"67139";"RTV i AGD/Sprzęt satelitarny/Akcesoria/Splittery"
"140541135";"67131";"RTV i AGD/Sprzęt satelitarny/Konwertery"
"140671750";"111856";"Dom i Ogród/Budownictwo i Akcesoria/Elektryka i akcesoria/Przedłużacze"
"140353998";"16301";"RTV i AGD/TV i Video/Stoliki, uchwyty, półki/Uchwyty"
"140356904";"16301";"RTV i AGD/TV i Video/Stoliki, uchwyty, półki/Uchwyty"
"140364932";"260572";"RTV i AGD/Sprzęt audio dla domu/Kolumny głośnikowe/Podstawy, stojaki, uchwyty/Uchwyty do kolumn"
"140418063";"16301";"RTV i AGD/TV i Video/Stoliki, uchwyty, półki/Uchwyty"
"140365601";"310513";"Komputery/Tablety/Akcesoria"
"140462851";"310513";"Komputery/Tablety/Akcesoria"
